Product_Code,Warehouse,Product_Category,Open,Promo,StateHoliday,SchoolHoliday,Petrol_price,High_Demand
1269,2,16,1,1,0,0,85,1
1441,2,16,1,0,0,0,80,1
1295,2,16,1,1,0,0,93,1
1141,2,16,1,0,0,0,95,1
982,2,4,1,0,0,0,93,1
1894,2,2,1,1,0,0,88,1
731,2,0,1,0,0,0,86,0
459,2,12,1,1,0,0,96,0
1368,2,16,1,0,0,0,86,1
448,1,12,1,1,0,0,90,0
791,2,0,1,0,0,0,88,0
1879,2,2,1,1,0,0,80,0
479,0,12,1,1,0,0,95,0
1727,2,27,1,1,0,0,89,0
1207,2,16,1,1,0,0,80,1
968,2,2,1,1,0,0,89,1
1275,2,16,1,0,0,0,91,1
976,2,4,1,0,0,0,84,0
1072,2,2,1,0,0,0,85,0
988,2,24,1,0,0,0,96,1
1192,2,16,1,0,0,0,84,1
1352,2,16,1,0,0,0,92,1
487,2,12,1,0,0,0,87,0
733,2,0,1,0,0,0,94,0
1204,2,16,1,0,0,0,93,1
589,2,0,1,0,0,0,82,0
504,2,19,1,1,0,0,96,0
1375,2,16,1,0,0,0,93,1
1885,1,2,1,0,0,0,82,1
1163,2,16,1,1,0,0,85,1
1776,2,4,1,1,0,0,89,0
471,2,10,1,0,0,0,88,0
1591,2,18,1,0,0,0,90,0
1265,2,16,1,1,0,0,96,1
1658,2,0,1,0,0,0,91,0
1419,2,16,1,0,0,0,80,0
974,2,4,1,1,0,0,95,1
1305,2,16,1,1,0,0,84,1
196,1,4,1,1,0,0,90,1
1700,2,3,1,1,0,0,88,0
1163,2,16,1,0,0,0,93,1
1583,2,18,1,0,0,0,96,0
1737,2,21,1,1,0,0,93,1
116,0,18,1,0,0,0,80,0
1173,2,16,1,1,0,0,83,1
596,1,0,1,0,0,0,85,0
30,2,2,1,0,0,0,92,1
943,2,24,1,0,0,0,84,1
200,0,4,1,0,0,0,91,1
12,2,2,1,1,0,0,91,1
1336,0,16,1,0,0,0,95,1
1880,2,2,1,0,0,0,80,1
1232,2,16,1,0,0,0,89,1
397,2,16,1,1,0,0,84,0
1381,0,16,1,0,0,0,87,1
1216,0,16,1,1,0,0,95,1
1382,0,16,1,1,0,0,81,0
126,0,18,1,1,0,0,80,0
773,2,0,1,1,0,0,87,0
1158,2,16,1,0,0,0,87,1
208,2,4,1,0,0,0,80,0
1539,2,16,1,0,0,0,81,0
479,0,12,1,1,0,0,96,0
1180,1,16,1,0,0,0,89,1
349,2,2,1,0,0,0,80,1
